Latitude	Longitude
47.160929	-1.265138
47.93087	0.41343
47.342475	-0.319308
47.0110771	-1.0754761
47.3637478	-0.4739187
47.13022	-1.18927
48.3480764	0.0234863
47.3501084	-1.1990854
47.834486	-0.699506
47.1670196	-0.6604683
47.7933359	0.547606
47.8939423	0.18690857
47.330385	-1.1278459
47.5675972	-1.0228371
47.6208302	0.0759372
47.8481629	-0.8848727
47.7101369	0.0517127
47.670651	0.046475
47.7162991	-0.5356327
47.605904	-1.1708069
47.483299	-0.817573
47.14563	-1.114455
47.4733335	-0.9672031
47.2883084	-1.7908124
47.8156589	0.089568
47.957092	0.79836
47.900263	0.564783
47.8225234	-0.0817648
47.2327	-0.3351
47.2674341	-1.2161421
47.8818327	-0.3951606
47.17892	-1.28576
47.3435748	-0.2295914
48.185425	0.204684
48.482554	-0.2955043
47.42073	-0.37951
47.2384398	-1.351647
48.1344225	0.23759866
47.6032	-0.68047
47.153082	-0.7394494
47.00206	-0.85341
48.44044	-0.49168
47.5217624	-0.879452
47.19137	-0.27403
47.351303	-0.229514
47.220909	-0.062731
47.215187	0.060854
47.25603	-2.33685
47.245837	-0.03968
47.192134	0.049419
47.7237442	-1.3803218
47.5494	-1.1227
47.6950603	-0.0769742
47.8519719	-0.3011989
47.27959	-2.36242
48.3869486	-0.5857189
48.00822	0.07015
47.345287	-2.50777
47.345287	-2.50777
47.29288	-2.510964
47.29288	-2.510964
47.3662092	-1.1902596
47.26831	-2.33936
47.828265	-0.717435
47.2654	-0.6432
47.26195	-0.071536
47.218517	-0.173707
47.07068	-1.75448
47.3516227	-0.764069
47.42343	-0.4421
47.263944	-0.071971
48.3282708	-0.7412865
47.725265	-0.041852
47.88591	0.11178
47.7036842	-0.8767201
47.8138796	-0.0861111
47.40647	-0.62361
47.2999447	-0.540214
47.68195	-0.48559
47.134293	-0.050067
47.36666	-2.34186
47.27287	-2.35599
48.0777184	-0.7810408
47.189	-0.26845
47.28287	-2.40394
47.132411	-1.230391
47.277	-0.081458
47.5240717	-1.1834102
47.249196	-0.055665
47.34232	-2.50583
